"Reference","Value","Footprint","Datasheet","Qty"
"C1","0.33u","Capacitor_SMD:C_0805_2012Metric","~","1"
"C2","0.1u","Capacitor_SMD:C_0805_2012Metric","~","1"
"C5, C8","10u","Capacitor_SMD:C_0805_2012Metric","-- mixed values --","2"
"C6, C7, C9","100nF","Capacitor_SMD:C_0805_2012Metric","-- mixed values --","3"
"D1-D4","LED","LED_SMD:LED_0805_2012Metric","-- mixed values --","4"
"J1","Conn_01x02_Pin","Connector_JST:JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal","~","1"
"J2, J3","Conn_01x02_Pin","Connector_AMASS:AMASS_XT60PW-F_1x02_P7.20mm_Horizontal","~","2"
"J4, J5","Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~","2"
"R1-R3","220","Resistor_SMD:R_0805_2012Metric","~","3"
"R6","56","Resistor_SMD:R_0805_2012Metric","C102029","1"
"U1","FC_stack","FC_Stack_template:FC_Stack_template","","1"
"U2","LM7805_TO220","Package_TO_SOT_SMD:TO-252-2","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","1"
"U3","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","1"
